STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
TEXAS,ERNEST BAILES,STATE HOUSE,18,230862.25
TEXAS,CHARLES LEE PERRY,STATE SENATE,28,0.0
TEXAS,EUGENE WU,STATE HOUSE,137,153029.24
TEXAS,TOM OLIVERSON,STATE HOUSE,130,301887.66000000003
TEXAS,GARNET F. COLEMAN,STATE HOUSE,147,801427.52
TEXAS,WILL METCALF,STATE HOUSE,16,171370.04
TEXAS,ANGELA PAXTON,STATE SENATE,8,6350539.02
TEXAS,ED THOMPSON,STATE HOUSE,29,691905.17
TEXAS,DAWN BUCKINGHAM,STATE SENATE,24,817779.3900000001
TEXAS,ROLAND GUTIERREZ,STATE SENATE,19,873451.1600000001
TEXAS,ROBERT NICHOLS,STATE SENATE,3,1016069.22
TEXAS,ROYCE WEST,STATE SENATE,23,853298.29
TEXAS,CARL O. SHERMAN,STATE HOUSE,109,125834.58
TEXAS,ALMA A. ALLEN,STATE HOUSE,131,63165.2
TEXAS,ABEL HERRERO,STATE HOUSE,34,380739.29000000004
TEXAS,STEVE ALLISON,STATE HOUSE,121,670460.67
TEXAS,HERIBERTO MORALES,STATE HOUSE,74,294684.88
TEXAS,BRIAN BIRDWELL,STATE SENATE,22,479494.76
TEXAS,ANGIE CHEN BUTTON,STATE HOUSE,112,1154898.76
TEXAS,CHARLES J. SCHWERTNER,STATE SENATE,5,28.9
TEXAS,KYLE J. KACAL,STATE HOUSE,12,343548.70999999996
TEXAS,CELIA ISRAEL,STATE HOUSE,50,173266.56999999998
TEXAS,JOHN P. CYRIER,STATE HOUSE,17,475605.37
TEXAS,LOIS W. KOLKHORST,STATE SENATE,18,518446.07
TEXAS,JOAN HUFFMAN,STATE SENATE,17,0.0
TEXAS,VIKKI GOODWIN,STATE HOUSE,47,900021.75
TEXAS,JIM MURPHY,STATE HOUSE,133,427533.45999999996
TEXAS,VALOREE SWANSON,STATE HOUSE,150,117094.11
TEXAS,CHRISTOPHER PADDIE,STATE HOUSE,9,66500.0
TEXAS,PENNY MORALES SHAW,STATE HOUSE,148,201399.49
TEXAS,DONNA HOWARD,STATE HOUSE,48,246476.8
TEXAS,INA MINJAREZ,STATE HOUSE,124,92806.3
TEXAS,HUGH D. SHINE,STATE HOUSE,55,57791.46000000001
TEXAS,TRENT ASHBY,STATE HOUSE,57,589565.0800000001
TEXAS,DAVID L. COOK,STATE HOUSE,96,644923.23
TEXAS,LARRY TAYLOR,STATE SENATE,11,819.0
TEXAS,JAMES B. FRANK,STATE HOUSE,69,313187.28
TEXAS,JOSE M. LOZANO,STATE HOUSE,43,0.0
TEXAS,DADE PHELAN,STATE HOUSE,21,71807.3
TEXAS,JARED PATTERSON,STATE HOUSE,106,490049.9800000001
TEXAS,MATT SHAHEEN,STATE HOUSE,66,752427.7399999999
TEXAS,SENFRONIA THOMPSON,STATE HOUSE,141,607571.81
TEXAS,RAFAEL M. ANCHÍA,STATE HOUSE,103,683221.1799999999
TEXAS,KEL SELIGER,STATE SENATE,31,2571271.12
TEXAS,CODY THANE VASUT,STATE HOUSE,25,201235.81
TEXAS,JOHN H. BUCY,STATE HOUSE,136,414197.1099999999
TEXAS,JUSTIN HOLLAND,STATE HOUSE,33,442720.27
TEXAS,STAN LAMBERT,STATE HOUSE,71,159574.50999999998
TEXAS,BRYAN SLATON,STATE HOUSE,2,370010.53
TEXAS,DUSTIN BURROWS,STATE HOUSE,83,224945.74000000002
TEXAS,CHRISTINA MORALES,STATE HOUSE,145,209232.51
TEXAS,THOMAS RUSSELL CRADDICK,STATE HOUSE,82,331911.49
TEXAS,DAN PATRICK,LIEUTENANT GOVERNOR,,973454.48
