STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
MAINE,BENJAMIN T. COLLINGS,STATE HOUSE,42,5339.400000000001
MAINE,RANDALL C. HALL,STATE HOUSE,114,5746.5
MAINE,DANNY E. COSTAIN,STATE HOUSE,100,2647.4500000000003
MAINE,EDMUND CLAXTON,STATE SENATE,20,68401.03000000001
MAINE,BARBARA A. WOOD,STATE HOUSE,38,3560.4900000000002
MAINE,LOIS GALGAY RECKITT,STATE HOUSE,31,7834.740000000001
MAINE,RICHARD A. BENNETT,STATE SENATE,19,68295.2
MAINE,MARGARET M. O'NEIL,STATE HOUSE,15,3303.98
MAINE,HEATHER B. SANBORN,STATE SENATE,28,3719.95
MAINE,LOUIS JOSEPH LUCHINI,STATE SENATE,7,0.0
MAINE,ARTHUR BELL,STATE HOUSE,47,17856.92
MAINE,THOMAS H. SKOLFIELD,STATE HOUSE,112,5984.110000000001
MAINE,LYNNE A. WILLIAMS,STATE HOUSE,135,9376.2
MAINE,GENEVIEVE L. MCDONALD,STATE HOUSE,134,6718.2
MAINE,DWAYNE W. PRESCOTT,STATE HOUSE,17,1200.0
MAINE,SAVANNAH LEAH SESSIONS,STATE HOUSE,117,14191.449999999999
MAINE,HOLLY B. STOVER,STATE HOUSE,89,14448.97
MAINE,WILLIAM R. FAULKINGHAM,STATE HOUSE,136,11545.820000000002
MAINE,VALLI D. GEIGER,STATE HOUSE,93,5659.370000000001
MAINE,MATTHEW G. POULIOT,STATE SENATE,15,48047.36
MAINE,TERESA S. PIERCE,STATE HOUSE,44,2697.3199999999997
MAINE,JANET T. MILLS,GOVERNOR,,0.0
MAINE,RUSSELL J. BLACK,STATE SENATE,17,45554.59
MAINE,ABIGAIL W. GRIFFIN,STATE HOUSE,102,3166.4700000000003
