STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
NEW YORK,HELENE E. WEINSTEIN,STATE ASSEMBLY,41,58797.3
NEW YORK,ROXANNE JACQUELINE PERSAUD,STATE SENATE,19,60749.64
NEW YORK,ANDREW D. HEVESI,STATE ASSEMBLY,28,35480.46
NEW YORK,FREDERICK J. AKSHAR,STATE SENATE,52,302896.97
NEW YORK,DAVID J. DIPIETRO,STATE ASSEMBLY,147,47886.88
NEW YORK,BRIAN D. MILLER,STATE ASSEMBLY,101,21696.47
NEW YORK,PATRICIA A. FAHY,STATE ASSEMBLY,109,80350.03
NEW YORK,ROBERT G. ORTT,STATE SENATE,62,108985.97999999998
NEW YORK,MONICA P. WALLACE,STATE ASSEMBLY,143,511588.29000000004
NEW YORK,RON KIM,STATE ASSEMBLY,40,111648.21
NEW YORK,CHARLES D. FALL,STATE ASSEMBLY,61,76231.77
NEW YORK,JONATHAN D. RIVERA,STATE ASSEMBLY,149,82771.79
NEW YORK,JOHN C. LIU,STATE SENATE,11,0.0
NEW YORK,ANNA MONAHEMI KAPLAN,STATE SENATE,7,341993.30000000005
NEW YORK,BRIAN MANKTELOW,STATE ASSEMBLY,130,20649.9
NEW YORK,DIANA C. RICHARDSON,STATE ASSEMBLY,43,119369.15999999999
NEW YORK,KENNETH BURGOS,STATE ASSEMBLY,85,13201.88
NEW YORK,MICHAEL TANNOUSIS,STATE ASSEMBLY,64,246732.90000000002
NEW YORK,JONATHAN G. JACOBSON,STATE ASSEMBLY,104,46020.50000000001
NEW YORK,PATRICK M. GALLIVAN,STATE SENATE,59,207549.21
NEW YORK,HARRY B. BRONSON,STATE ASSEMBLY,138,403479.96
NEW YORK,LEROY G. COMRIE,STATE SENATE,14,169411.47
NEW YORK,KEVIN M. BYRNE,STATE ASSEMBLY,94,77688.09
NEW YORK,SAMRA G. BROUK,STATE SENATE,55,391935.64
NEW YORK,JOSEPH A. GRIFFO,STATE SENATE,47,93935.22
NEW YORK,RICHARD N. GOTTFRIED,STATE ASSEMBLY,75,105698.15999999999
NEW YORK,SANDRA R. GALEF,STATE ASSEMBLY,95,25187.93
NEW YORK,JAMAAL T. BAILEY,STATE SENATE,36,195813.40999999997
NEW YORK,JEFFREY L. GALLAHAN,STATE ASSEMBLY,131,48262.78
NEW YORK,DANIEL A. ROSENTHAL,STATE ASSEMBLY,27,55337.11
NEW YORK,SEAN M. RYAN,STATE SENATE,60,425676.44999999995
