STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
ALABAMA,STEPHEN A. MCMILLAN,STATE HOUSE,95,13817.259999999998
ALABAMA,PRISCILLA DUNN,STATE SENATE,19,17652.11
ALABAMA,CLYDE CHAMBLISS,STATE SENATE,30,84399.66
ALABAMA,CHRIS ELLIOTT,STATE SENATE,32,544821.63
ALABAMA,ARNOLD G. MOONEY,STATE HOUSE,43,63830.37
ALABAMA,PAUL W. LEE,STATE HOUSE,86,44821.96000000001
ALABAMA,MERIKA COLEMAN-EVANS,STATE HOUSE,57,41255.82
ALABAMA,MATT SIMPSON,STATE HOUSE,96,86382.13
ALABAMA,PARKER DUNCAN MOORE,STATE HOUSE,4,139762.33999999997
ALABAMA,DAVID WHEELER,STATE HOUSE,47,66377.99
ALABAMA,CHRIS E. BLACKSHEAR,STATE HOUSE,80,41461.01
ALABAMA,JT WAGGONER,STATE SENATE,16,183003.79
ALABAMA,STEVE CLOUSE,STATE HOUSE,93,62000.59
ALABAMA,LARRY COLLINS STUTTS,STATE SENATE,6,502171.97000000003
ALABAMA,WILL BARFOOT,STATE SENATE,25,334056.84
ALABAMA,DEXTER GRIMSLEY,STATE HOUSE,85,107693.67
ALABAMA,KERRY RICH,STATE HOUSE,26,16959.17
ALABAMA,MATT FRIDY,STATE HOUSE,73,0.0
ALABAMA,BOBBY D. SINGLETON,STATE SENATE,24,111607.29
ALABAMA,DAN ROBERTS,STATE SENATE,15,8910.17
