NAME,CATEGORY
CHRISTIAN EDWARDS PRINTING,PRINTING
CHS MAILING,DIRECT MAIL
CHUNG & ASSOCIATES LLC,SHIPPING & POSTAGE
CIGNA HEALTHCARE,INSURANCE
CISION US,SOFTWARE & TECHNOLOGY
CITIBANK/CITICARD,CREDIT CARD PAYMENT & BANK FEES
CIVIS ANALYTICS,SOFTWARE & TECHNOLOGY
CIVITECH,DATA & DATABASE SERVICES
CIVIX STRATEGY GROUP,COMPLIANCE SERVICES
CKMP DIGITAL,SOFTWARE & TECHNOLOGY
CLARIFY AGENCY,LEGAL SERVICES
CLARITY CAMPAIGN LABS,CAMPAIGN CONSULTING
CLARKE & SAMPSON,INSURANCE
CLEAN SWEEP CAMPAIGNS,DIRECT MAIL
CLEAR CREEK STRATEGIES,CAMPAIGN CONSULTING
CLEARWING PRODUCTIONS,EVENT EXPENSES
CLOCKWORK SYSTEMS,DIRECT MAIL
CLOUD DATA SERVICES,DATA & DATABASE SERVICES
CM&CO,ACCOUNTING & FINANCIAL MANAGEMENT
CMDI,DATA & DATABASE SERVICES
COLDSPARK MEDIA,MEDIA & ADS
COLEMAN JET,TRAVEL & LODGING
COMCAST,UTILITIES
COMMON CENTS CONSULTING,COMPLIANCE SERVICES
COMMUNICATIONS CORPORATION OF AMERICA,UTILITIES
COMMUNICATIONS COUNSEL,UTILITIES
COMMUNITY CARES UNITED,COMPLIANCE SERVICES
COMMUNITY CHANGE ACTION,LEGAL SERVICES
COMMUNITY EVENTS,MEDIA & ADS
COMMUNITY LABOR ADMINISTRATIVE SERVICES,ACCOUNTING & FINANCIAL MANAGEMENT
COMMUNITY OUTREACH GROUP,CANVASSING & FIELD WORK
COMPLETE PAYROLL SOLUTIONS (FEES),SALARY & PAYROLL PROCESSING FEES
COMPLETE PAYROLL SOLUTIONS (PAYROLL TAX),PAYROLL TAX
COMPLETE PAYROLL SOLUTIONS (PAYROLL),SALARY & PAYROLL
COMPLIANCE CONSULTANTS,COMPLIANCE SERVICES
CONCENTRIC ADVISORS,LEGAL SERVICES
CONCEPT MARKETING  BRANDING,"PR, COMMUNICATIONS, & MARKETING"
CONCORDIA STUDIOS,MEDIA & ADS
