STATE,NAME,CATEGORY
KANSAS,KANSAS OFFICE OF IT SERVICES (OITS),SOFTWARE & TECHNOLOGY
KANSAS,KANSAS REPUBLICAN PARTY,POLITICAL FUNDS & GROUPS
KANSAS,KANSAS TURNPIKE AUTHORITY,TRAVEL & LODGING
KANSAS,JOSHUA SVATY,POLITICAL FUNDS & GROUPS
KENTUCKY,DEMOCRATIC PARTY OF KENTUCKY,POLITICAL FUNDS & GROUPS
KENTUCKY,REPUBLICAN PARTY OF KENTUCKY,POLITICAL FUNDS & GROUPS
KENTUCKY,NOVEMBER STRATEGIES,CAMPAIGN CONSULTING
KENTUCKY,BIG ECHO CREATIVE,MEDIA & ADS
KENTUCKY,MATT BEVIN FOR KY,POLITICAL FUNDS & GROUPS
LOUISIANA,ATTORNEY JASON R WILLIAMS,LEGAL SERVICES
LOUISIANA,KATC-TV,MEDIA & ADS
LOUISIANA,KLFY-TV,MEDIA & ADS
LOUISIANA,ST. LUKE'S LIVING CENTER,MISCELLANEOUS
LOUISIANA,MELE PRINTING,PRINTING
LOUISIANA,WAFB-TV,MEDIA & ADS
LOUISIANA,OURSO BEYCHOK,DIRECT MAIL
LOUISIANA,WWL-TV,MEDIA & ADS
MAINE,WCSH-TV,MEDIA & ADS
MAINE,DALE RAND PRINTING,PRINTING
MAINE,BANGOR LETTER SHOP,DIRECT MAIL
MAINE,AURORA MARKETING,"PR, COMMUNICATIONS, & MARKETING"
MARYLAND,BROWN-ULMAN FOR MARYLAND SLATE,POLITICAL FUNDS & GROUPS
MARYLAND,DEMOCRATIC SENATE CAUCUS COMMITTEE OF MARYLAND,POLITICAL FUNDS & GROUPS
MARYLAND,DEMOCRATIC STATE CENTRAL COMMITTEE OF MARYLAND,POLITICAL FUNDS & GROUPS
MARYLAND,DEMOCRATIC STATE CENTRAL COMMITTEE OF MARYLAND,POLITICAL FUNDS & GROUPS
MARYLAND,HOGAN RUTHERFORD SLATE,POLITICAL FUNDS & GROUPS
MARYLAND,JEALOUS TURNBULL SLATE,POLITICAL FUNDS & GROUPS
MARYLAND,CREATIVE PRINT GROUP,PRINTING
MARYLAND,MARYLAND DEMOCRATIC SENATE CAUCUS COMMITTEE,POLITICAL FUNDS & GROUPS
MARYLAND,BINETTI POLIITCAL STRATEGIES,CAMPAIGN CONSULTING
MARYLAND,THE BALTIMORE SUN,MEDIA & ADS
MARYLAND,MARYLAND TOGETHER WE RISE PAC,POLITICAL FUNDS & GROUPS
MASSACHUSETTS,BAKER COMMITTEE,POLITICAL FUNDS & GROUPS
MASSACHUSETTS,GREAT SCHOOLS MASSACHUSETTS BALLOT QUESTION COMMITTEE,POLITICAL FUNDS & GROUPS
MASSACHUSETTS,WBZ-TV,MEDIA & ADS
MASSACHUSETTS,MA & NORTHERN NEW ENGLAND LABORER'S DISTRICT COUNCIL PAC,POLITICAL FUNDS & GROUPS
MASSACHUSETTS,MASSACHUSETTS HEALTH & HOSPITAL ASSOCIATION,POLITICAL FUNDS & GROUPS
MASSACHUSETTS,COMMONWEALTH OF MASSACHUSETTS,UTILITIES
MASSACHUSETTS,WCVB-TV,MEDIA & ADS
MASSACHUSETTS,WBZ-TV,MEDIA & ADS
MICHIGAN,INLAND PRESS,PRINTING
MICHIGAN,MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE,POLITICAL FUNDS & GROUPS
MICHIGAN,MICHIGAN HOUSE DEMOCRATIC FUND,POLITICAL FUNDS & GROUPS
MICHIGAN,WOLVERINE PRINTING,PRINTING
MICHIGAN,NATIONAL PETITION MANAGEMENT,POLITICAL FUNDS & GROUPS
MICHIGAN,WJBK-TV,MEDIA & ADS
MINNESOTA,RAPIT PRINTING,PRINTING
MINNESOTA,MINNESOTA DEMOCRATIC FARMER LABOR (DFL) HOUSE CAUCUS,POLITICAL FUNDS & GROUPS
MINNESOTA,MINNESOTA DEMOCRATIC FARMER LABOR (DFL) STATE CENTRAL COMMITTEE,POLITICAL FUNDS & GROUPS
MINNESOTA,MINNESOTA HOUSE REPUBLICAN CAMPAIGN COMMITTEE (HRCC),POLITICAL FUNDS & GROUPS
MINNESOTA,SEVEN CORNERS PRINTING,PRINTING
MINNESOTA,IMPACT PRINTING,PRINTING
MISSISSIPPI,ALLIANCE BUSINESS SERVICES,PRINTING
MISSISSIPPI,CHISM STRATEGIES,CAMPAIGN CONSULTING
MISSISSIPPI,MAGGIE CLARK MEDIA SERVICES,MEDIA & ADS
MISSISSIPPI,COPIAH COUNTY COURIER,MEDIA & ADS
MISSISSIPPI,MISSISSIPPI DEMOCRATIC TRUST,POLITICAL FUNDS & GROUPS
MISSOURI,MISSOURI LAFAYETTE COUNTY DEMOCRATIC PARTY,POLITICAL FUNDS & GROUPS
NEBRASKA,BAILEY LAUERMAN,"PR, COMMUNICATIONS, & MARKETING"
NEBRASKA,CLARK CREATIVE GROUP,MEDIA & ADS
NEBRASKA,NEBRASKA CHAMBER OF COMMERCE & INDUSTRY PAC,POLITICAL FUNDS & GROUPS
